lat,lon,Time,o3_column,so2_column,SolarZenithAngle,ViewingZenithAngle,datetime
33.625,-94.875,1033500236.998686,275.9,1.31,41.466,62.723,2002-10-01 19:23:56.998685956
33.625,-94.625,1033500236.998686,275.9,1.31,41.466,62.723,2002-10-01 19:23:56.998685956
33.625,-94.375,1033500236.998686,275.9,1.31,41.466,62.723,2002-10-01 19:23:56.998685956
33.625,-94.125,1033500236.998686,275.9,1.31,41.466,62.723,2002-10-01 19:23:56.998685956
33.625,-93.875,1033500236.998686,275.9,1.31,41.466,62.723,2002-10-01 19:23:56.998685956
33.625,-93.625,1033500236.998686,275.9,1.31,41.466,62.723,2002-10-01 19:23:56.998685956
33.625,-91.875,1033500224.996412,279.8,0.01,42.698,54.655,2002-10-01 19:23:44.996412039
33.625,-91.625,1033500224.996412,279.8,0.01,42.698,54.655,2002-10-01 19:23:44.996412039
33.625,-91.375,1033500224.996412,279.8,0.01,42.698,54.655,2002-10-01 19:23:44.996412039
33.625,-91.125,1033500224.996412,279.8,0.01,42.698,54.655,2002-10-01 19:23:44.996412039
33.625,-90.375,1033500216.994886,275.3,0.38,43.242,49.683,2002-10-01 19:23:36.994886041
33.625,-90.125,1033500216.994886,275.3,0.38,43.242,49.683,2002-10-01 19:23:36.994886041
33.625,-89.875,1033500216.994886,275.3,0.38,43.242,49.683,2002-10-01 19:23:36.994886041
33.625,-89.625,1033500216.994886,275.3,0.38,43.242,49.683,2002-10-01 19:23:36.994886041
33.625,-86.625,1033500198.991499,281.3,-0.11,44.925,31.333,2002-10-01 19:23:18.991498947
33.625,-86.375,1033500196.991102,283.6,0.03,45.078,29.14,2002-10-01 19:23:16.991101980
33.625,-86.125,1033500200.9918648,283.8,0.32,45.446,26.961,2002-10-01 19:23:20.991864800
33.625,-85.875,1033500196.991102,284.7,-0.76,45.297,26.961,2002-10-01 19:23:16.991101980
33.625,-85.625,1033500194.990736,285.2,0.23,45.433,24.795,2002-10-01 19:23:14.990736008
33.625,-85.375,1033500194.990736,286.8,0.04,45.636,22.639,2002-10-01 19:23:14.990736008
33.625,-85.125,1033500192.990354,289.0,0.46,45.759,20.492,2002-10-01 19:23:12.990353942
33.625,-84.875,1033500192.990354,289.0,0.46,45.759,20.492,2002-10-01 19:23:12.990353942
33.625,-84.625,1033500192.990354,289.0,0.46,45.759,20.492,2002-10-01 19:23:12.990353942
33.875,-122.875,1033512021.231779,284.0,0.07,53.377,56.452,2002-10-01 22:40:21.231778979
33.875,-122.625,1033512019.231413,284.4,0.59,53.314,56.452,2002-10-01 22:40:19.231413007
33.875,-122.375,1033512019.231413,284.4,0.59,53.314,56.452,2002-10-01 22:40:19.231413007
33.875,-122.125,1033512019.231413,284.4,0.59,53.314,56.452,2002-10-01 22:40:19.231413007
33.875,-121.875,1033512019.231413,284.4,0.59,53.314,56.452,2002-10-01 22:40:19.231413007
33.875,-121.625,1033512019.231413,285.0,0.2,53.863,59.11,2002-10-01 22:40:19.231413007
33.875,-121.375,1033512019.231413,285.0,0.2,53.863,59.11,2002-10-01 22:40:19.231413007
33.875,-121.125,1033512019.231413,285.0,0.2,53.863,59.11,2002-10-01 22:40:19.231413007
33.875,-120.875,1033512019.231413,285.0,0.2,53.863,59.11,2002-10-01 22:40:19.231413007
33.875,-120.625,1033512019.231413,282.8,0.28,54.499,61.877,2002-10-01 22:40:19.231413007
33.875,-120.375,1033512019.231413,282.8,0.28,54.499,61.877,2002-10-01 22:40:19.231413007
33.875,-120.125,1033512019.231413,282.8,0.28,54.499,61.877,2002-10-01 22:40:19.231413007
33.875,-119.875,1033512019.231413,282.8,0.28,54.499,61.877,2002-10-01 22:40:19.231413007
33.875,-119.625,1033506158.120603,280.8,0.15,41.6,62.721,2002-10-01 21:02:38.120602965
33.875,-119.375,1033506156.120191,280.6,1.0,41.518,62.721,2002-10-01 21:02:36.120190978
33.875,-119.125,1033506156.120191,280.6,1.0,41.518,62.721,2002-10-01 21:02:36.120190978
33.875,-118.875,1033506156.120191,280.6,1.0,41.518,62.721,2002-10-01 21:02:36.120190978
33.875,-118.625,1033506156.120191,280.6,1.0,41.518,62.721,2002-10-01 21:02:36.120190978
33.875,-118.375,1033506150.119077,280.5,0.86,41.921,59.923,2002-10-01 21:02:30.119076967
33.875,-118.125,1033506150.119077,280.5,0.86,41.921,59.923,2002-10-01 21:02:30.119076967
33.875,-117.875,1033506150.119077,280.5,0.86,41.921,59.923,2002-10-01 21:02:30.119076967
33.875,-117.625,1033506152.1194588,275.2,0.32,42.569,57.243,2002-10-01 21:02:32.119458795
33.875,-117.375,1033506146.11833,277.5,-0.34,42.326,57.243,2002-10-01 21:02:26.118330002
33.875,-117.125,1033506146.11833,277.5,-0.34,42.326,57.243,2002-10-01 21:02:26.118330002
33.875,-116.875,1033506146.11833,277.5,-0.34,42.326,57.243,2002-10-01 21:02:26.118330002
33.875,-116.625,1033506142.117567,280.0,0.35,42.669,54.654,2002-10-01 21:02:22.117566943
33.875,-116.375,1033506142.117567,280.0,0.35,42.669,54.654,2002-10-01 21:02:22.117566943
33.875,-116.125,1033506142.117567,280.0,0.35,42.669,54.654,2002-10-01 21:02:22.117566943
33.875,-115.875,1033506140.117185,280.8,0.25,43.04,52.138,2002-10-01 21:02:20.117184997
33.875,-115.625,1033506140.117185,280.8,0.25,43.04,52.138,2002-10-01 21:02:20.117184997
